,accenumb,taxon,genus,species,spauthor,subtaxa,subtauthor,cropname,avail,instcode,acckey,collnumb,collcode,taxno,accename,acqdate,origcty,collsite,latitude,longitude,elevation,colldate,bredcode,sampstat,ancest,collsrc,donorcode,donornumb,othernumb,duplsite,storage,latdec,longdec,remarks,history,released,Seq,Inbred.Line,Accesion.N,Breeding.program,Pop.structure,Year.Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,X,X.1,X.2,X.3,Ped_line
355,Ames 26115,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1606090,,NA,311987,CI 2,20001120,,,,,NA,,NA,400,(CI23 x CI4-8) CI23,40,NA,,:CI 2;USA126:Ames 26115,,10,NA,NA,,"DONATED  11/20/2000 Missouri, United States by Darrah, L., USDA-ARS",,1342,CI2,Ames26115,Other,unclassified,0,CI23,CI2_1,0,0,INBRED,0,,NA,NA,NA,G3BD2
377,Ames 26137,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1606112,,NA,311987,CI 91C,20001120,,,,,NA,,NA,400,(CI24 x CI540) CI24,40,NA,,:CI 91C;USA126:Ames 26137,,10,NA,NA,,"DONATED  11/20/2000 Missouri, United States by Darrah, L., USDA-ARS",,1411,CI91C,Ames26137,Other,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,PHK42_1
356,Ames 26116,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1606091,,NA,311987,CI 3A,20001120,,,,,NA,,NA,400,(CI3 X related inbred) CI3 ^2,40,NA,,:CI 3A;USA126:Ames 26116;:3104-2/00,USA005,10,NA,NA,,"DONATED  11/20/2000 Missouri, United States by Darrah, L., USDA-ARS",,1364,CI3A,Ames26116,Other,unclassified,1,CI3,CI3,1,5,INBRED SELF OUT OF CI13_1/UNKNOWN,0,,NA,NA,NA,I207
119,Ames 20116,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1084194,,NA,311987,Mo23W,19930104,,,,,NA,,NA,400,(K10 x Ky49/Manmoth White Pearl),40,NA,,:Mo23W;USA126:Ames 20116;:id=47849,,10,NA,NA,,"DEVELOPED   Missouri, United States by Darrah, L., USDA-ARS; Zuber, M., USDA, ARS; Wallin, J.. DONATED  01/04/1993 Missouri, United States by Darrah, L., USDA-ARS",,2676,Mo23W,Ames20116,Missouri,unclassified,0,Mo23W_1,MammothWhitePearl,0,0,INBRED,(K10 X Ky49/Mammoth White Pearl) (pipe corn),,NA,NA,NA,FRMO17
120,Ames 20118,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1084199,,NA,311987,Mo25W,19930104,,,,,NA,,NA,400,(K10 x Ky49/Ziler Hi-Cob),40,NA,,:Mo25W;USA126:Ames 20118;:id=47851,,10,NA,NA,,"DEVELOPED   Missouri, United States by Darrah, L., USDA-ARS; Zuber, M., USDA, ARS; Wallin, J.. DONATED  01/04/1993 Missouri, United States by Darrah, L., USDA-ARS",,2679,Mo25W,Ames20118,Missouri,unclassified,0,Mo23W_1,ZilerHi_Cob,0,0,INBRED,(K10 X K49/Ziler Hi-Cob) (pipe corn),,NA,NA,NA,NK387
632,Ames 28367,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1713409,,NA,311987,CI 7 Goodman-Buckler,20061116,,,,,NA,,NA,400,(L317 x 33-16) 33-16 ^2,40,NA,,:CI 7 Goodman-Buckler;USA126:Ames 28367;:Separation from CIze 7;:3106-2/00,,10,NA,NA,Blight resistant.,"DEVELOPED   United States by. DONATED  11/16/2006 Iowa, United States by Millard, M., USDA, ARS",,1391,CI7GB,Ames28367,Other,unclassified,0,CI7GB_2,33_16,0,0,INBRED,Blight Res,CI7Goodman_Buckler,NA,NA,NA,
428,Ames 26802,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1633484,,NA,311987,H109,20020412,,,,,NA,,NA,400,(Mo17 x H99) Mo17,40,NA,,:H109;USA126:Ames 26802,,10,NA,NA,,"DEVELOPED  1981 Indiana, United States by Purdue University. DONATED  04/12/2002 Indiana, United States by Foster, W., Purdue University",1981,2235,H109,Ames26802,Indiana,non-stiff stalk,0,H108_1,Mo17,0,0,INBRED,0,,NA,NA,NA,SnellingCornBorerSynthetic
538,Ames 27140,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645520,,NA,311987,NC260,20030421,,,,,NA,,NA,400,(Mo44 x Mo17) Mo44 ^3,40,NA,,:NC260;USA126:Ames 27140;:3190-2/00;:Goodman 8264-1(2000);:Goodman 8264-2(2000);:Goodman 8264-3(2000);:Goodman 8264-4(2000);:Goodman 2103-1(2001;:Goodman 2103-2(2001;:Goodman 2103-3(2001);:Goodman 2103-4(2001),USA005,10,NA,NA,,"DEVELOPED PRE 1989 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",,3036,NC260,Ames27140,North Carolina,non-stiff stalk,0,NC260_3,Mo44,0,0,INBRED,[(Mo44 X Mo17) Mo44 (3)],,NA,NA,NA,
23,Ames 10267,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1052143,,NA,311987,SC15,19890327,,,,,NA,,NA,400,(SC213 x L97B) SC213,40,NA,,:SC15;USA126:Ames 10267,,10,NA,NA,Inbred from SC415. Yellow.  Vigorous and productive with maturity similar to its recurrent parent.  Tall and prolific with good grain quality.  Produced well in single cross combinations with SC13 and SC213.  Showed excellent general combining ability and stalk strength.,"DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS",,3598,SC15,Ames10267,Other,unclassified,0,SC213,SC15_1,0,0,INBRED,[(SC213 X L97B) SC213],,NA,NA,NA,A632_2
81,Ames 19009,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1082235,,NA,311987,Va30,19920227,,,,,NA,,NA,400,(Va17 x Va36)Va17,40,NA,,:Va30;USA126:Ames 19009;:id=69055,,10,NA,NA,,"DEVELOPED   Virginia, United States by Virginia Polytechnic Institute and State University. DONATED  02/27/1992 North Carolina, United States by Sisco, P., USDA, ARS",,3983,Va30,Ames19009,Other,unclassified,0,[(Va17 X Va36) Va17],0,0,0,0,0,,NA,NA,NA,BL345
239,Ames 23460,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535370,,NA,311987,A624,19961125,,,,,NA,,NA,400,[(A295 X ND230) A295],40,NA,,:A624;USA126:Ames 23460;:1996:107,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,865,A624,Ames23460,Minnesota,unclassified,0,A295 ,A624_1,0,0,BC1,0,,NA,NA,NA,ILL.B
238,Ames 23459,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,N,USA020,1535369,,NA,311987,A622,19961125,,,,,NA,,NA,400,[(A298 X Amargo 41.2504B) A298(2)],40,NA,,:A622;USA126:Ames 23459;:1996:106,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,862,A622,Ames23459,Minnesota,unclassified,0,A298,A622_2,0,0,INBRED,0,,NA,NA,NA,ILL.A
193,Ames 23409,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535033,,NA,311987,A264,19961125,,,,,NA,,NA,400,[(A334 X Oh40B) A334(2)],40,NA,,:A264;USA126:Ames 23409;:1989:3820;:1996:43,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,747,A264,Ames23409,Minnesota,unclassified,0,A334,A264_2,0,0,INBRED,0,,NA,NA,NA,LegalTenderYellowDent
