,accenumb,taxon,genus,species,spauthor,subtaxa,subtauthor,cropname,avail,instcode,acckey,collnumb,collcode,taxno,accename,acqdate,origcty,collsite,latitude,longitude,elevation,colldate,bredcode,sampstat,ancest,collsrc,donorcode,donornumb,othernumb,duplsite,storage,latdec,longdec,remarks,history,released,Seq,Inbred.Line,Accesion.N,Breeding.program,Pop.structure,Year.Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,X,X.1,X.2,X.3,Ped_line
201,Ames 23419,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535044,,NA,311987,A310,19961125,,,,,NA,,NA,400,C6 X H,40,NA,,:A310;USA126:Ames 23419;:1987:340;:1996:54,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,775,A310,Ames23419,Minnesota,unclassified,0,C6,H,0,0,INBRED,0,,NA,NA,NA,
216,Ames 23435,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535213,,NA,311987,A427,19961125,,,,,NA,,NA,400,CC36 X A405,40,NA,,:A427;USA126:Ames 23435;:1996:76,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,801,A427,Ames23435,Minnesota,unclassified,0,CC36 ,A405,0,0,0,0,,NA,NA,NA,LH145_5
593,Ames 27198,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645863,,NA,311987,GEMN-0045,20030508,,,,,NA,,NA,400,CH05015:N12-140-1-B-B,40,NA,,:GEMN-0045;:GEMS-0045;:CH05015:N12-140-1-B-B;:CH05015:N12-140-1-B-B 99GEM07582;USA126:Ames 27198,,10,NA,NA,A parent of GEMS-0045 is CHZM 05 015 which is PI 467165.  It is a Chilean accession from the state of Valparaiso that was identified as one of the LAMP (Latin American Maize Project) landrace collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,1979,GEMN-0045,Ames27198,GEM,non-stiff stalk,0,CHZM_05_015,0,0,0,INBRED,0,,NA,NA,NA,
731,Ames 30943,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,N,USA020,1878563,,NA,311987,GEMN-0070,20110525,,,,,NA,,NA,400,CH05015:N12-183-001-B-B-SIB-SIB,40,NA,,:GEMN-0070;:06GEM02119;USA126:Ames 30943,,10,NA,NA,,"DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS",2003,1994,GEMN-0070,Ames30943,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
592,Ames 27197,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645861,,NA,311987,GEMN-0044,20030508,,,,,NA,,NA,400,CH05015:N12-20-1-B-B,40,NA,,:GEMN-0044;:GEMS-0044;:CH05015:N12-20-1-B-B;:CH05015:N12-20-1-B-B 99GEM07554;USA126:Ames 27197,,10,NA,NA,A parent of GEMS-0044 is CHZM 05 015 which is PI 467165.  It is a Chilean accession from the state of Valparaiso that was identified as one of the LAMP (Latin American Maize Project) landrace collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,1978,GEMN-0044,Ames27197,GEM,non-stiff stalk,0,CHZM_05_015,0,0,0,INBRED,0,,NA,NA,NA,
732,Ames 30944,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1878564,,NA,311987,GEMN-0071,20110525,,,,,NA,,NA,400,CH05015:N15-003-001-B-B-SIB-SIB,40,NA,,:GEMN-0071;:06GEM02148;USA126:Ames 30944,,10,NA,NA,,"DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS",2003,1995,GEMN-0071,Ames30944,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
594,Ames 27199,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645865,,NA,311987,GEMN-0046,20030508,,,,,NA,,NA,400,CH05015:N15-8-1-B-B,40,NA,,:GEMN-0046;:GEMS-0046;:CH05015:N15-8-1-B-B;:CH05015:N15-8-1-B-B 99GEM07540;:CH05015:N15-8-1-B-B 99GEM07720;:CH05015:N15-8-1-B-B 99GEM07659;USA126:Ames 27199,,10,NA,NA,A parent of GEMS-0046 is CHZM 05 015 which is PI 467165.  It is a Chilean accession from the state of Valparaiso that was identified as one of the LAMP (Latin American Maize Project) landrace collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,1980,GEMN-0046,Ames27199,GEM,non-stiff stalk,0,CHZM_05_015,0,0,0,INBRED,0,,NA,NA,NA,
132,Ames 22441,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1489141,,NA,311987,CH157,19950418,,,,,NA,,NA,400,CH157,40,NA,,:CH157;USA126:Ames 22441,,10,NA,NA,,"DONATED  04/12/1995 Pennsylvania, United States by Johnson, M., Pennsylvania State University. DEVELOPED PRE 04/12/1995 Ontario, Canada by Agriculture Canada",,1313,CH157,Ames22441,Harrow CA,unclassified,0,0,0,0,0,INBRED,Unknown peidigree,,NA,NA,NA,W59M_2
608,Ames 27213,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645895,,NA,311987,GEMN-0060,20030508,,,,,NA,,NA,400,CHIS775:N1912-519-1-B-B,40,NA,,:GEMN-0060;:GEMS-0060;:CHIS775:N1912-519-1-B-B;:CHIS775:N1912-519-1-B-B 00GEM06033;USA126:Ames 27213,,10,NA,NA,A parent of GEMS-0060 is Chiapas which is PI 576258.  It is a Mexican accession from the state of Chiapas that was identified as one of the LAMP (Latin American Maize Project) landrace collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,1993,GEMN-0060,Ames27213,GEM,non-stiff stalk,0,Chiapas ,0,0,0,INBRED,0,,NA,NA,NA,
733,Ames 30945,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1878565,,NA,311987,GEMS-0072,20110525,,,,,NA,,NA,400,CHIS775:S1911b-439-001-B-B-B-B,40,NA,,:GEMS-0072;:09GEM07677;USA126:Ames 30945,,10,NA,NA,,"DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS",2003,2132,GEMS-0072,Ames30945,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
793,Ames 31669,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1906029,,NA,311987,GEMN-0119,20121024,,,,,NA,,NA,400,CHS775:N19-042-001-B-B,40,NA,,:GEMN-0119;USA126:Ames 31669;:CHS775:N19-042-001-B-B;:2012 Row: 3071-3080,,10,NA,NA,,"DEVELOPED  2005 North Carolina, United States by. DONATED  10/24/2012 North Carolina, United States by",,2023,GEMN-0119,Ames31669,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
794,Ames 31670,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1906030,,NA,311987,GEMN-0120,20121024,,,,,NA,,NA,400,CHS775:N19-042-003-B-B-B,40,NA,,:GEMN-0120;USA126:Ames 31670;:CHS775:N19-042-003-B-B-B;:2012 Row: 3081-3090,,10,NA,NA,,"DEVELOPED  2005 North Carolina, United States by Goodman, M., North Carolina State University. DONATED  10/24/2012 North Carolina, United States by Krakowsky, M., USDA, ARS, PSRU",,2024,GEMN-0120,Ames31670,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
788,Ames 31534,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1904930,,NA,311987,CI90C Goodman-Buckler,20120810,,,,,NA,,NA,500,CI 90C,50,NA,,:CI90C Goodman-Buckler;USA126:Ames 31534;:Separation from Ames 22440,USA005,10,NA,NA,,"DEVELOPED   United States by. DONATED  04/11/1995 Missouri, United States by Darrah, L., USDA-ARS. DONATED  08/10/2012 Iowa, United States by Millard, M., USDA, ARS",,1408,CI90C,Ames31534,Other,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
776,Ames 31245,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1896724,,NA,311987,GEMN-0210,20111221,,,,,NA,,NA,400,CL-G1607(CML420):N11-8-1-7-B,40,NA,,:GEMN-0210;USA126:Ames 31245;:2010 Row: 5691-5700-blk/10;:CL-G1607(CML420):N11-8-1-7-B,,10,NA,NA,,"DEVELOPED  2010 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by",,2082,GEMN-0210,Ames31245,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
252,Ames 23475,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535386,,NA,311987,A637,19961125,,,,,NA,,NA,400,CO106 X A321,40,NA,,:A637;USA126:Ames 23475;:1996:128,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,900,A637,Ames23475,Minnesota,unclassified,0,CO106 ,A321 ,0,0,0,0,,NA,NA,NA,
341,Ames 25218,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1574567,,NA,311987,GA221,19990317,,,,,NA,,NA,400,Coker 911 OP,40,NA,,:GA221;USA126:Ames 25218,,10,NA,NA,,"DEVELOPED   Georgia, United States by Fleming, A., University of Georgia. DONATED  03/17/1999 Georgia, United States by Widstrom, N., USDA, ARS",,1946,GA221,Ames25218,Other,unclassified,0,Coker911,0,0,0,INBRED,Open Pollinated ear of Coker911 (Hybrid),,NA,NA,NA,PA884P_3
689,Ames 30529,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1842807,,NA,311987,MR11 (Cuban Flint) S6,20100622,,,,,NA,,NA,400,Cuba 65 (PI 483800),40,NA,,:MR11 (Cuban Flint) S6;:09W-120-bulk self;:27512;USA126:Ames 30529,,10,NA,NA,,"DEVELOPED PRE 2010 Wisconsin, United States by Doebley, J., University of Wisconsin. DONATED  06/22/2010 Wisconsin, United States by Doebley, J., University of Wisconsin",,2807,MR11CubanFlintS6,Ames30529,Other,landraces,0,CubanFlint,CubanFlint,0,0,0,0,,NA,NA,NA,
734,Ames 30946,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1878566,,NA,311987,GEMS-0073,20110525,,,,,NA,,NA,400,CUBA117:S15-372-001-B-B-B,40,NA,,:GEMS-0073;:04GEM00290;USA126:Ames 30946,,10,NA,NA,,"DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS",2003,2133,GEMS-0073,Ames30946,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
613,Ames 27218,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645906,,NA,311987,GEMS-0065,20030508,,,,,NA,,NA,400,CUBA117:S1520-41-1-B-B,40,NA,,:GEMS-0065;:CUBA117:S1520-41-1-B-B;:CUBA117:S1520-41-1-B-B 01GEM00155;USA126:Ames 27218,,10,NA,NA,A parent of GEMS-0065 is CUBA 117 which is PI 483816.  It is a Cuban accession that was identified as one of the LAMP (Latin American Maize Project) collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,2127,GEMS-0065,Ames27218,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,NA,NA,NA,
614,Ames 27219,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645907,,NA,311987,GEMS-0066,20030508,,,,,NA,,NA,400,CUBA117:S1520-52-1-B-B,40,NA,,:GEMS-0066;:CUBA117:S1520-52-1-B-B;:CUBA117:S1520-52-1-B-B 01GEM00156;USA126:Ames 27219,,10,NA,NA,A parent of GEMS-0065 is CUBA 117 which is PI 483816.  It is a Cuban accession that was identified as one of the LAMP (Latin American Maize Project) collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,2128,GEMS-0066,Ames27219,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,NA,NA,NA,
601,Ames 27206,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645879,,NA,311987,GEMS-0053,20030508,,,,,NA,,NA,400,CUBA164:S15-192-2-B,40,NA,,:GEMS-0053;:CUBA164:S15-192-2-B;:CUBA164:S15-192-2-B GEM99-06088;USA126:Ames 27206,,10,NA,NA,A parent of GEMS-0053 is CUBA 164 which is PI 489361.  It is a Cuban accession that was identified as one of the LAMP (Latin American Maize Project) collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,2120,GEMS-0053,Ames27206,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,NA,NA,NA,
612,Ames 27217,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645905,,NA,311987,GEMS-0064,20030508,,,,,NA,,NA,400,CUBA164:S1511b-249-1-B-B,40,NA,,:GEMS-0064;:CUBA164:S1511b-249-1-B-B;:CUBA164:S1511b-249-1-B-B 01GEM00172;USA126:Ames 27217,,10,NA,NA,A parent of GEMS-0064 is CUBA 164 which is PI 489361.  It is a Cuban accession that was identified as one of the LAMP (Latin American Maize Project) collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,2126,GEMS-0064,Ames27217,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,NA,NA,NA,
611,Ames 27216,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645904,,NA,311987,GEMS-0063,20030508,,,,,NA,,NA,400,CUBA164:S1511b-325-1-B-B,40,NA,,:GEMS-0063;:CUBA164:S1511b-325-1-B-B;:CUBA164:S1511b-325-1-B-B 01GEM00173;USA126:Ames 27216,,10,NA,NA,A parent of GEMS-0063 is CUBA 164 which is PI 489361.  It is a Cuban accession that was identified as one of the LAMP (Latin American Maize Project) collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,2125,GEMS-0063,Ames27216,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,NA,NA,NA,
735,Ames 30947,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1878567,,NA,311987,GEMS-0074,20110525,,,,,NA,,NA,400,CUBA164:S1517-163-001-B-B,40,NA,,:GEMS-0074;:03GEM00304;USA126:Ames 30947,,10,NA,NA,,"DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS",2003,2134,GEMS-0074,Ames30947,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
736,Ames 30948,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1878568,,NA,311987,GEMS-0075,20110525,,,,,NA,,NA,400,CUBA164:S1517-241-002-B-B-B,40,NA,,:GEMS-0075;:03GEM00126;USA126:Ames 30948,,10,NA,NA,,"DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS",2003,2135,GEMS-0075,Ames30948,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
600,Ames 27205,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645877,,NA,311987,GEMS-0052,20030508,,,,,NA,,NA,400,CUBA164:S2008a-326-1-B,40,NA,,:GEMS-0052;:CUBA164:S2008a-326-1-B;:CUBA164:S2008a-326-1-B GEM99-06099;USA126:Ames 27205,,10,NA,NA,A parent of GEMS-0052 is CUBA 164 which is PI 489361.  It is a Cuban accession that was identified as one of the LAMP (Latin American Maize Project) collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,2119,GEMS-0052,Ames27205,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,NA,NA,NA,
599,Ames 27204,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645875,,NA,311987,GEMS-0051,20030508,,,,,NA,,NA,400,CUBA164:S2008a-83-1-B,40,NA,,:GEMS-0051;:CUBA164:S2008a-83-1-B;:CUBA164:S2008a-83-1-B GEM99-06103;USA126:Ames 27204,,10,NA,NA,A parent of GEMS-0051 is CUBA 164 which is PI 489361.  It is a Cuban accession that was identified as one of the LAMP (Latin American Maize Project) collections performing in the top 5%.,"DONATED  05/08/2003 Iowa, United States by Pollak, L., USDA, ARS; Blanco, M., USDA, ARS. DEVELOPED PRE 05/08/2003 Iowa, United States by Pollak, L., USDA, ARS",2003,2118,GEMS-0051,Ames27204,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,NA,NA,NA,
697,Ames 30791,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1855425,,NA,311987,GEMS-0176,20101201,,,,,NA,,NA,400,CUBA164:S2008c-289-001-B-B-SIB,40,NA,,:GEMS-0176;:CUBA164:S2008c-289-001-B-B-SIB;:08GEM05046;USA126:Ames 30791,,10,NA,NA,,"DONATED  12/01/2010 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 12/01/2010 Iowa, United States by Blanco, M., USDA, ARS",,2165,GEMS-0176,Ames30791,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
791,Ames 31542,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1905187,,NA,311987,GEMS-0203,20120924,,,,,NA,,NA,400,CUBA164:S2008dF44-012-001-B-B-SIB and CUBA164:S2008dF44-012-001-B-B-SIB-SIB,40,NA,,:GEMS-0203;USA126:Ames 31542;:CUBA164:S2008dF44-012-001-B-B-SIB;:CUBA164:S2008dF44-012-001-B-B-SIB-SIB,,10,NA,NA,,"DONATED  09/24/2012 Iowa, United States by Blanco, M., USDA, ARS",,2178,GEMS-0203,Ames31542,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
755,Ames 30967,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,N,USA020,1878587,,NA,311987,GEMS-0185,20110525,,,,,NA,,NA,400,CUBA164:S2012-966-001-B wx,40,NA,,:GEMS-0185;:09GEM07761;USA126:Ames 30967,,10,NA,NA,The donors indicate this is an inbred line unlike previous GEM numbers which are only partially inbred.,"DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS",,2171,GEMS-0185,Ames30967,GEM,unclassified,0,0,0,0,0,INBRED,0,,NA,NA,NA,
565,Ames 27167,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645544,,NA,311987,NC342,20030421,,,,,NA,,NA,400,"Derived from a cross of two McNair inbreds, 14 and 18, which were in turn derived from Coker 811A x C103",40,NA,,:NC342;USA126:Ames 27167;:57;:5301-bst/94;:TZ35_____2041-1/89_4033-3/93;:3220-2/00,USA005,10,NA,NA,,"DEVELOPED  1997 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1997,3114,NC342,Ames27167,North Carolina,unclassified,1997,McNair14,McNair18,0,0,INBRED,0,,NA,NA,NA,
575,Ames 27177,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645554,,NA,311987,NC362,20030421,,,,,NA,,NA,400,Derived from a single-cross between an experimental line of all-tropical origin and NC262,40,NA,,:NC362;USA126:Ames 27177;:6301;:P105.A155xTZ70__254-1/92_F6S6;:218-bst/96;:3230-2/00,USA005,10,NA,NA,,"DEVELOPED  1999 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1999,3133,NC362,Ames27177,North Carolina,unclassified,1999,NC262,NC360_1,0,0,INBRED,0,,NA,NA,NA,
564,Ames 27166,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645543,,NA,311987,NC340,20030421,,,,,NA,,NA,400,Derived from an experimental line from Pioneer X105A crossed with an experimental line from Pioneer 306A x H5,40,NA,,:NC340;USA126:Ames 27166;:3219-2/00;:Goodman 8193-2(1999);:Goodman 8193-3(1999);:Goodman 8193-4(1999);:Goodman 3219-1(2000);:Goodman 8281-1(2000);:Goodman 8281-3(2000);:Goodman 8281-4(2000);:Goodman 8281-5(2000);:Goodman 8281-6(2000);:Goodman 8281-7(2000),USA005,10,NA,NA,,"DEVELOPED  1997 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1997,3113,NC340,Ames27166,North Carolina,unclassified,0,NC340_1,NC340_3,0,0,INBRED,Derived from an experimental line from Pioneer X105A crossed with an experimental line from Pioneer 306A x H5,,NA,NA,NA,
563,Ames 27165,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645542,,NA,311987,NC338,20030421,,,,,NA,,NA,400,Derived from an experimental line from Pioneer X105A x H5 crossed with an experimental line derived from Pioneer 304B x Agroceres 504,40,NA,,:NC338;USA126:Ames 27165;:92-blk/1995;:92-blk/95,USA005,10,NA,NA,,"DEVELOPED  1997 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1997,3109,NC338,Ames27165,North Carolina,unclassified,1997,NC338_1,NC338_2,0,0,INBRED,Derived from an experimental line from Pioneer X105A x H5 crossed with an experimental line derived from Pioneer 304B x Agroceres 504.,,NA,NA,NA,
571,Ames 27173,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645550,,NA,311987,NC354,20030421,,,,,NA,,NA,400,Derived from an experimental line sharing the pedigree of NC296 crossed to an experimental line derived from Pioneer X304A x H101,40,NA,,:NC354;USA126:Ames 27173;:6261;:187-bst/96;:Goodman 8287-4(2000);:Goodman 8287-6(2000);:Goodman 3226-5(2000);:Goodman 3226-7(2000);:Goodman 3226-6(2000);:Goodman 3226-4(2000);:Goodman 8187-5(2000);:Goodman 8287-3(2000);:C2L(105.5x304.101)1517-2F8S12;:3226-2/00,USA005,10,NA,NA,,"DEVELOPED  1998 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1998,3127,NC354,Ames27173,North Carolina,unclassified,0,NC354_1,NC354_2,0,0,INBRED,Derived from an experimental line sharing the pedigree of NC296 crossed to an experimental line derived from Pioneer X304A x H101,,NA,NA,NA,
569,Ames 27171,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645548,,NA,311987,NC350,20030421,,,,,NA,,NA,400,Derived from an experimental line sharing the same pedigree of NC296 with an experimental line from the hybrid H101 from El Salvador,40,NA,,:NC350;USA126:Ames 27171;:6282;:(105.5x101)7967-1S12_7483-2;:Goodman 3224-3(2000);:Goodman 8144-3(2000);:Goodman 8285-2(2000);:Goodman 8285-4(2000);:Goodman 8285-6(2000);:Goodman 8285-5(2000);:Goodman 8285-3(2000);:Goodman 8144-4(2000);:Goodman 8144-2(2000);:Goodman 3224-1(2000);:/90_767-bk/95;:3224-2/00,USA005,10,NA,NA,,"DEVELOPED  1998 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1998,3122,NC350,Ames27171,North Carolina,unclassified,1998,NC298_2,NC350_1,0,0,INBRED,Pioneer_X105A / H5 // H101,,NA,NA,NA,
578,Ames 27180,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645557,,NA,311987,NC368,20030421,,,,,NA,,NA,400,Derived from B73 x NC250-type materials,40,NA,,:NC368;USA126:Ames 27180;:8081-Blk;:14-blk/97|12|;:Goodman 8294-2(2000);:Goodman 8294-4(2000);:Goodman 8294-6(2000);:Goodman 1737-2(2002);:Goodman 1737-3(2002);:Goodman 1737-1(2002);:Goodman 8294-5(2000);:Goodman 8294-3(2000);:Goodman 8294-1(2000);:B73m.63%_2269-2/89;:3233-2/00,USA005,10,NA,NA,,"DEVELOPED  1999 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1999,3137,NC368,Ames27180,North Carolina,unclassified,1999,B73,NC250,0,0,INBRED,0,,NA,NA,NA,
567,Ames 27169,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1645546,,NA,311987,NC346,20030421,,,,,NA,,NA,400,Derived from cross of Pioneer X105A and H5,40,NA,,:NC346;USA126:Ames 27169;:6182;:105x5(88-17-1;366-7/84)429-;:Goodman 8283-3(2000);:Goodman 8283-5(2000);:Goodman 2229-3(2001);:Goodman 2229-5(2001);:Goodman 2229-6(2001);:Goodman 2229-4(2001);:Goodman 2229-2(2001);:Goodman 8283-4(2000);:Goodman 8283-2(2000);:1S8_755-bk/95;:3222-2/00,USA005,10,NA,NA,,"DEVELOPED  1998 North Carolina, United States by North Carolina Agricultural Research Service. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University",1998,3116,NC346,Ames27169,North Carolina,unclassified,1998,PX105A,H5,0,0,INBRED,0,,NA,NA,NA,
